Founding_Year,Job_Title,Salary_Estimate_k,Rating,Company_Name,Location,Size,Type_ownership,Industry,Sector
Investment Banking & Asset Management,Senior QA Analyst,85,Investment Banking & Asset Management,UNIVERSAL Technologies (NY),"Brooklyn, NY",100,Unknown,IT Services,Information Technology
Investment Banking & Asset Management,Business Analyst,85,5,"ITech Recruiting
5.0","Jersey City, NJ",100,Company - Public,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Analyst (Volunteer),85,2,"WhoWhatWhy
2.0","New York, NY",100,Nonprofit Organization,Investment Banking & Asset Management,Investment Banking & Asset Management
1996,Business Systems Analyst,85,3.1,"Seven Seven Softwares
3.1","Newark, NJ",100,Company - Public,IT Services,Information Technology
1968,Business Analyst,85,3.5,"EDP World, Inc.
3.5","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
1948,Business Analyst,85,3.5,"Robert Half
3.5","Brooklyn, NY",100,Company - Public,Staffing & Outsourcing,Business Services
2008,Business Analyst,85,5,"Staffigo Technical Services, LLC
5.0","New York, NY",100,Company - Private,IT Services,Information Technology
Investment Banking & Asset Management,Agile Business Analyst,131,Investment Banking & Asset Management,Cquest,"New York, NY",100,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
1994,Business Analyst,131,4.5,"Creative Financial Staffing
4.5","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Analyst,131,4.3,"MVP Consulting Plus Inc
4.3","New York, NY",100,Company - Private,Consumer Products Manufacturing,Manufacturing
2001,Business Analyst,131,3.4,"Infinity Consulting Solutions
3.4","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
2012,Business Analyst,131,4.6,"Han IT Staffing
4.6","New York, NY",100,Company - Private,IT Services,Information Technology
1983,Business Analyst/Coordinator,131,3.9,"TEKsystems, Inc
3.9","New York, NY",100,Subsidiary_ Business_Segment,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Analyst,131,1,"eiWorkflow Solutions, LLC
1.0","New York, NY",100,Company - Public,IT Services,Information Technology
2016,Senior Business Analyst,131,3.5,"IHS Markit
3.5","New York, NY",100,Company - Public,Consulting,Business Services
Investment Banking & Asset Management,Business Analyst,131,4.1,"APN Software Services Inc.
4.1","Secaucus, NJ",100,Company - Private,Computer Hardware & Software,Information Technology
1996,Business Analyst,131,3.6,"Cyberthink, Inc
3.6","Ridgefield Park, NJ",100,Company - Private,IT Services,Information Technology
1998,Business Analyst/Capital Markets,131,4.5,"InfoSmart Technologies Inc
4.5","New York, NY",100,Company - Private,Enterprise Software & Network Solutions,Information Technology
2001,Business Analyst from Insurance Domain or Retirement Domain,131,3.6,"Synechron
3.6","Harrison, NJ",100,Company - Private,IT Services,Information Technology
1966,Business Analyst,131,4.1,"Kforce
4.1","Madison, NJ",100,Company - Public,Staffing & Outsourcing,Business Services
1999,Product Management Analyst,131,2.7,"comScore
2.7","New York, NY",100,Company - Public,Advertising & Marketing,Business Services
2009,Business Analyst,131,3.9,"STAND 8 Technology Services
3.9","Lake Hiawatha, NJ",100,Company - Private,Consulting,Business Services
1982,Product Analyst,131,3.4,"Plymouth Rock Assurance
3.4","Woodbridge, NJ",100,Company - Private,Insurance Carriers,Insurance
Investment Banking & Asset Management,Business System Analyst,131,4.2,"ITBMS Inc.
4.2","Newark, NJ",100,Company - Private,IT Services,Information Technology
2013,Business Analyst,131,4.5,"Frontend Arts
4.5","Union, NJ",100,Company - Private,Enterprise Software & Network Solutions,Information Technology
Investment Banking & Asset Management,Business Analyst,131,3.8,"MDMS Recruiting
3.8","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Analyst,131,3.8,"Citibank
3.8","New York, NY",100,Company - Private,Lending,Finance
Investment Banking & Asset Management,System/Business Analyst,131,5,"Crossfire Consulting
5.0","New York, NY",100,Company - Private,Consulting,Business Services
1991,Axiom Developer/Business Analyst,131,4.5,"The Goodkind Group
4.5","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Oracle BI Business System Analyst,131,4.7,"UTC Associates, Inc.
4.7","New York, NY",100,Company - Private,Accounting,Accounting & Legal
Investment Banking & Asset Management,Business Analyst,131,Investment Banking & Asset Management,Pinkus Partners,"New York, NY",100,Company - Public,Investment Banking & Asset Management,Investment Banking & Asset Management
1995,Business Systems Analyst,131,3.8,"Apex Systems
3.8","Summit, NJ",100,Subsidiary_ Business_Segment,Staffing & Outsourcing,Business Services
1852,Systems Support Analyst 5,131,3.6,"Wells Fargo
3.6","New York, NY",100,Company - Public,Banks & Credit Unions,Finance
Investment Banking & Asset Management,Senior Business Analyst,131,3.9,"Phyton Talent Advisors
3.9","New York, NY",100,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
2011,Business Analyst - Technical,131,5,"The Resource Collaborative
5.0","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
2006,Technical Business Analyst,131,3.8,"VLink Inc.
3.8","New York, NY",100,Company - Private,IT Services,Information Technology
2004,Contract Consultant Business Analyst for Massive Software Product Company,131,4.3,"Gambit Technologies Inc
4.3","Whippany, NJ",100,Company - Private,Staffing & Outsourcing,Business Services
1990,"Office of the CAO | Reference Data, Project Manager/Business Analyst",103,3.8,"Citadel
3.8","New York, NY",100,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
2006,Data Business Analyst,103,3.5,"Genuent
3.5","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
2002,Technical Business Analyst,103,3.9,"Diverse Lynx
3.9","New York, NY",100,Company - Private,IT Services,Information Technology
1841,Data Analyst,103,4.1,"NYU Langone Health
4.1","New York, NY",100,Hospital,Health Care Services & Hospitals,Health Care
Investment Banking & Asset Management,IBA: Independent Business Analyst,103,Investment Banking & Asset Management,Firmus,"New York, NY",100,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Analyst,103,1,"Incipient Corp.
1.0","Rutherford, NJ",100,Company - Private,Enterprise Software & Network Solutions,Information Technology
1995,Business Analyst III,103,3.8,"Apex Systems
3.8","New York, NY",100,Subsidiary_ Business_Segment,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Analysts,103,4.1,"Gain America
4.1","New York, NY",100,Contract,Consulting,Business Services
2003,Technical Business Analyst,103,3.4,"GroupM
3.4","New York, NY",100,Subsidiary_ Business_Segment,Publishing,Media
2014,Business Technology Analyst,103,3.9,"Point72
3.9","New York, NY",100,Company - Private,Investment Banking & Asset Management,Finance
1799,2021 Global Finance & Business Management Analyst Program - Summer Analyst Opportunity,103,3.9,"JPMorgan Chase & Co.
3.9","New York, NY",100,Company - Public,Investment Banking & Asset Management,Finance
1999,Business Analyst II,103,4,"Genesis10
4.0","New York, NY",100,Company - Private,Consulting,Business Services
1884,DATA ANALYST,103,3.7,"Montefiore Medical
3.7","New York, NY",100,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Investment Banking & Asset Management,Business & Process Mining Analyst - Contract,103,3.4,"Atlantic Partners
3.4","New York, NY",100,Company - Private,Brokerage Services,Finance
2006,BI Analyst,103,3.5,"Genuent
3.5","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business & Process Transformation Analyst,103,Investment Banking & Asset Management,ZnA Inc,"New York, NY",100,Company - Private,IT Services,Information Technology
Investment Banking & Asset Management,Business Analyst&nbsp / Business Analyst,103,3.4,"TECHNOCRAFT Solutions
3.4","New York, NY",100,Company - Private,Advertising & Marketing,Business Services
1837,Senior Project Manager/Business Analyst,103,3.6,"Hachette Book Group USA
3.6","New York, NY",100,Company - Private,Publishing,Media
Investment Banking & Asset Management,Senior Business Analyst (Front Office),95,3,"SMBC
3.0","New York, NY",100,Company - Public,Investment Banking & Asset Management,Investment Banking & Asset Management
1932,Business Analyst III,95,3.6,"Horizon Blue Cross Blue Shield of New Jersey
3.6","Newark, NJ",100,Nonprofit Organization,Insurance Carriers,Insurance
2015,Business Development (Institutional Investors),95,5,"Second Measure
5.0","New York, NY",100,Company - Private,Enterprise Software & Network Solutions,Information Technology
1968,Business Intelligence Analyst,95,3.1,"Mini-Circuits
3.1","Brooklyn, NY",100,Company - Private,Electrical & Electronic Manufacturing,Manufacturing
Investment Banking & Asset Management,Business Data Analyst,95,3.8,"Cortex consultants LLC
3.8","New York, NY",100,Company - Private,Consulting,Business Services
2000,Business Analyst/ Data analyst - Data Mining,95,3.8,"LanceSoft Inc
3.8","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
2010,Regulatory Business Analyst,95,3.5,"Russell Tobin & Associates
3.5","New York, NY",100,Subsidiary_ Business_Segment,Staffing & Outsourcing,Business Services
2001,Business Intelligence Analyst,95,5,"The Connors Group
5.0","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Analyst - PJT Camberview,95,4,"PJT Partners
4.0","New York, NY",100,Company - Public,Investment Banking & Asset Management,Investment Banking & Asset Management
2003,Business & Process Transformation Analyst,95,4,"Zen & Art
4.0","New York, NY",100,Company - Private,IT Services,Information Technology
1969,Enterprise Support Business Analyst,100,3.3,"Macquarie Group
3.3","New York, NY",100,Company - Public,Investment Banking & Asset Management,Finance
2001,Software Business Analyst/Software Project Manager,100,4.6,"Shinetech Software
4.6","New York, NY",100,Company - Private,IT Services,Information Technology
1932,Business Systems Analyst,100,3.6,"Horizon Blue Cross Blue Shield of New Jersey
3.6","Newark, NJ",100,Nonprofit Organization,Insurance Carriers,Insurance
Investment Banking & Asset Management,Agile Business Analyst,100,4.8,"Forbes Technical Consulting
4.8","Jersey City, NJ",100,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Trading Desk Business Analyst,100,2.6,"Oppenheimer & Co. Inc.
2.6","New York, NY",100,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
2002,Business Systems Analyst,100,3.9,"Diverse Lynx
3.9","New York, NY",100,Company - Private,IT Services,Information Technology
2007,Business Analyst/PM,100,4.4,"Black Systems LLC
4.4","New York, NY",100,Company - Private,Computer Hardware & Software,Information Technology
2012,Business Systems Analyst,100,4,"Futran Solutions Inc
4.0","Newark, NJ",100,Company - Private,IT Services,Information Technology
2011,Sales Operations Analyst Intern (Spring/Summer),100,3.4,"HelloFresh
3.4","New York, NY",100,Company - Public,"Health, Beauty, & Fitness",Consumer Services
Investment Banking & Asset Management,Trading Desk Business Analyst,100,Investment Banking & Asset Management,OPPENHEIMER & CO,"New York, NY",100,Company - Public,Investment Banking & Asset Management,Investment Banking & Asset Management
1972,Salesforce Business Analyst,100,4.3,"WinterWyman
4.3","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
2006,Data Analyst,100,4.9,"Teachers Pay Teachers
4.9","New York, NY",100,Company - Private,Internet,Information Technology
1998,Business Process Analyst (Retail),100,3.7,"Momentum Resource Solutions
3.7","New York, NY",100,Contract,Staffing & Outsourcing,Business Services
1957,Senior Business Analyst,100,3.3,"Ross Stores
3.3","New York, NY",100,Company - Public,"Department, Clothing, & Shoe Stores",Retail
1919,HR Business Analyst (Workday),100,3.2,"American International Group
3.2","New York, NY",100,Company - Public,Insurance Carriers,Insurance
Investment Banking & Asset Management,Senior Business Analyst,100,Investment Banking & Asset Management,Talium Advisors,"New York, NY",100,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
2016,Business Intelligence Analyst,100,5,"ingenium.agency
5.0","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Analyst/Project Manager,100,Investment Banking & Asset Management,Alans Group,"New York, NY",100,Unknown,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Technology Business Analyst,100,3.6,"Prospect Infosys
3.6","New York, NY",100,Company - Private,Consulting,Business Services
2012,"Business Analyst, Clinical Product",88,4.5,"CentralReach
4.5","Matawan, NJ",100,Company - Private,Computer Hardware & Software,Information Technology
2001,Sr. Business Analyst (Contact Center),88,3.6,"Synechron
3.6","New York, NY",100,Company - Private,IT Services,Information Technology
2012,Business Analyst Member Support,88,3.8,"Peloton
3.8","New York, NY",100,Company - Public,"Health, Beauty, & Fitness",Consumer Services
1984,IT Business Analyst,88,4.1,"Mitchell Martin
4.1","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
1995,Business Analyst II,88,3.8,"Apex Systems
3.8","New York, NY",100,Subsidiary_ Business_Segment,Staffing & Outsourcing,Business Services
1948,"Analyst, Business Process Outsourcing",88,3.5,"Argo Group US
3.5","New York, NY",100,Company - Public,Insurance Carriers,Insurance
1972,Building Systems Analyst,88,4,"Steven Winter Associates
4.0","New York, NY",100,Company - Private,Energy,"Oil, Gas, Energy & Utilities"
1907,Senior Business Analyst,88,3.1,"Bessemer Trust
3.1","Woodbridge, NJ",100,Company - Private,Investment Banking & Asset Management,Finance
1986,Solutions Analyst,88,3.5,"Vitech Systems Group Inc
3.5","New York, NY",100,Company - Private,Enterprise Software & Network Solutions,Information Technology
2003,Senior Business Analyst,88,4.2,"NJF Global Holdings
4.2","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
2011,Salesforce Business Analyst,88,4.8,"Oloop Technology Solutions
4.8","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
2019,"Business Intelligence Analyst, Smithsonian",88,3.6,"ViacomCBS Inc.
3.6","New York, NY",100,Company - Public,Motion Picture Production & Distribution,Media
Investment Banking & Asset Management,Business Analyst Expert,88,2.8,"PSI International
2.8","New York, NY",100,Company - Public,IT Services,Information Technology
Investment Banking & Asset Management,Senior Business Analyst,88,3.5,"PLATTS
3.5","New York, NY",100,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Intelligence Analyst,88,2,"Advance Generation Technologies
2.0","Florham Park, NJ",100,Company - Private,IT Services,Information Technology
1911,Salesforce Administrator/ Business Analyst,88,3.7,"IBM
3.7","New York, NY",100,Company - Public,IT Services,Information Technology
1994,IT Business Systems Analyst,88,4.6,"EDI Staffing
4.6","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Salesforce Business Analyst,88,Investment Banking & Asset Management,CNS Search Group,"New York, NY",100,Company - Public,Investment Banking & Asset Management,Investment Banking & Asset Management
1856,Senior Business Analyst/Project Manager # 154418,160,3.8,"Credit Suisse
3.8","New York, NY",100,Company - Public,Investment Banking & Asset Management,Finance
1982,Senior Business Analyst – Agency Processing Management,160,3.4,"Plymouth Rock Assurance
3.4","Woodbridge, NJ",100,Company - Private,Insurance Carriers,Insurance
1999,Scrum Team Business Analysts,160,3.7,"eTeam Inc.
3.7","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Risk Management & Capital Adequacy Technical Business Analyst,160,3.8,"Mission Staffing
3.8","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
2007,Technical Business Analyst,160,5,"SolGenie Technologies, Inc.
5.0","New York, NY",100,Company - Private,Enterprise Software & Network Solutions,Information Technology
2006,MS Dynamics CRM Business Analyst,160,3.3,"Spruce Technology Inc.
3.3","New York, NY",100,Company - Private,IT Services,Information Technology
1989,"Business Analyst, Transaction Advisory Services - Capital Transformation - Strategy & Operations (Manager)(Multiple Positions)",160,3.8,"EY
3.8","New York, NY",100,Company - Private,Accounting,Accounting & Legal
1967,Business Intelligence Analyst,160,3.2,"AllianceBernstein
3.2","New York, NY",100,Company - Public,Investment Banking & Asset Management,Finance
2002,Business System Analyst,160,3.9,"Diverse Lynx
3.9","New York, NY",100,Company - Private,IT Services,Information Technology
1993,"Business Analyst, Margin",160,3.9,"Imagine Software
3.9","New York, NY",100,Company - Private,Computer Hardware & Software,Information Technology
1812,Business Analyst - AVP - ICG Analytics,160,3.7,"Citi
3.7","New York, NY",100,Company - Public,Investment Banking & Asset Management,Finance
1984,Business Systems Analyst,160,2.2,"Business Monitor International
2.2","New York, NY",100,Company - Private,Publishing,Media
2011,Senior Business Analyst,160,2.8,"Katalyst Technologies Inc.
2.8","New York, NY",100,Company - Private,Enterprise Software & Network Solutions,Information Technology
Investment Banking & Asset Management,Senior Business Analyst,160,4,"Lorven Technologies Inc
4.0","New York, NY",100,Company - Private,Accounting,Accounting & Legal
1995,IT Business Analyst,90,3.6,"Al Dahra Holding LLC
3.6","Wilmington, CA",100,Company - Private,Food Production,Agriculture & Forestry
1915,Tolling Business Analyst,90,4.2,"Gannett Fleming
4.2","Los Angeles, CA",100,Company - Private,Architectural & Engineering Services,Business Services
1966,Analyst,90,3.6,"Edmunds.com
3.6","Santa Monica, CA",100,Company - Private,Internet,Information Technology
2015,Pricing Analyst,90,4,"NEXT Trucking
4.0","El Segundo, CA",100,Company - Private,Logistics & Supply Chain,Transportation & Logistics
2007,Product Analyst,90,3.3,"Age of Learning
3.3","Glendale, CA",100,Company - Private,KInvestment Banking & Asset Management2 Education,Education
1977,Analyst - University Recruiting - Graduates (anticipated hiring July/August),90,3.1,"Urban Science
3.1","Long Beach, CA",100,Company - Private,IT Services,Information Technology
2008,Business Manager (Must speak Chinese / Mandarin),90,Investment Banking & Asset Management,Allied Home LLC,"Commerce, CA",100,Company - Public,Investment Banking & Asset Management,Investment Banking & Asset Management
1912,Graveyard Shift GSOC Analyst,90,3.8,"Paramount Pictures
3.8","Hollywood, CA",100,Subsidiary_ Business_Segment,Motion Picture Production & Distribution,Media
2015,Business Intelligence Analyst,90,4,"NEXT Trucking
4.0","El Segundo, CA",100,Company - Private,Logistics & Supply Chain,Transportation & Logistics
2020,Management Analyst I - Global Trade,90,3.5,"Raytheon Intelligence & Space
3.5","El Segundo, CA",100,Subsidiary_ Business_Segment,Aerospace & Defense,Aerospace & Defense
2016,"Business Analyst, Tools & Reporting",90,3.8,"TikTok
3.8","Los Angeles, CA",100,Company - Private,Internet,Information Technology
1954,Business Analyst,90,3.2,"Motion Picture Industry Pension & Health Plans
3.2","Los Angeles, CA",100,Nonprofit Organization,Health Fundraising Organizations,Non-Profit
1945,Business Manager,90,4.4,"Johnsonville Sausage
4.4","Los Angeles, CA",100,Company - Private,Food & Beverage Manufacturing,Manufacturing
1929,Principal Business Analyst,90,4.4,"Socalgas
4.4","Los Angeles, CA",100,Subsidiary_ Business_Segment,Utilities,"Oil, Gas, Energy & Utilities"
Investment Banking & Asset Management,Business Manager,90,Investment Banking & Asset Management,Laser Land,"West Covina, CA",100,Unknown,Investment Banking & Asset Management,Investment Banking & Asset Management
1994,Senior Analyst,90,2.7,"Spin Master Ltd
2.7","Los Angeles, CA",100,Company - Public,Consumer Products Manufacturing,Manufacturing
1996,Business Analyst,90,4,"Prosum
4.0","Los Angeles, CA",100,Company - Private,IT Services,Information Technology
1994,Sr. Business Analyst,90,3.5,"Sony Playstation Network
3.5","Los Angeles, CA",100,Subsidiary_ Business_Segment,Video Games,Media
Investment Banking & Asset Management,Associate Business Analyst,90,4,"Flexon Technologies
4.0","Los Angeles, CA",100,Contract,Investment Banking & Asset Management,Investment Banking & Asset Management
1984,Business Analyst,90,4.1,"Dell
4.1","Inglewood, CA",100,Company - Public,IT Services,Information Technology
1996,Product Data Analyst,90,3.2,"Stamps.com
3.2","El Segundo, CA",100,Company - Public,Computer Hardware & Software,Information Technology
2008,Entry Level Business Analyst,90,5,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",100,Company - Private,IT Services,Information Technology
1976,Business Analyst,90,3.4,"Unico American Corporation
3.4","Calabasas, CA",100,Company - Public,Insurance Carriers,Insurance
2013,Reports Analyst,90,3,"LoanMe
3.0","Anaheim, CA",100,Company - Private,Lending,Finance
Investment Banking & Asset Management,Business Data Analyst,90,5,"Connect International
5.0","Los Angeles, CA",100,Nonprofit Organization,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Jr. Business Development Analyst Intern,90,3.6,"Nox Solutions
3.6","Los Angeles, CA",100,Company - Private,"Department, Clothing, & Shoe Stores",Retail
2011,Business Analyst,90,2.9,"Evolent Health
2.9","Brea, CA",100,Company - Public,Health Care Services & Hospitals,Health Care
1990,Business Analyst,90,3.5,"Dolphin
3.5","Los Angeles, CA",100,Company - Private,"Hotels, Motels, & Resorts",Travel & Tourism
1990,Business Analyst,90,3,"Apollo Global Management
3.0","El Segundo, CA",100,Company - Public,Venture Capital & Private Equity,Finance
2017,Business Operations Analyst,90,5,"Flowspace
5.0","Marina del Rey, CA",100,Company - Private,Logistics & Supply Chain,Transportation & Logistics
2003,Business Analyst,120,4.5,"FADEL
4.5","Los Angeles, CA",100,Company - Private,Computer Hardware & Software,Information Technology
2004,Business Analyst,120,3.7,"SAPSOL Technologies Inc.
3.7","Los Angeles, CA",100,Company - Private,IT Services,Information Technology
2005,Sales Finance Analyst,120,3.8,"Reddit
3.8","Los Angeles, CA",100,Company - Private,Internet,Information Technology
2001,Business Analyst,120,3.8,"Odesus
3.8","Burbank, CA",100,Company - Private,Consulting,Business Services
2009,Business Analyst,120,4.5,"Transom Consulting Group
4.5","Los Angeles, CA",100,Company - Private,Consulting,Business Services
Investment Banking & Asset Management,Business Analyst,120,3.5,"Cenergy
3.5","Rosemead, CA",100,Company - Private,Construction,"Construction, Repair & Maintenance"
1948,Business Analyst,120,3.5,"Robert Half
3.5","Los Angeles, CA",100,Company - Public,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Analyst,120,3.9,"Park Computer Systems Inc
3.9","Los Angeles, CA",100,Company - Private,Consulting,Business Services
1980,"Analyst, Business",120,3.1,"Molina Healthcare
3.1","Long Beach, CA",100,Company - Public,Insurance Carriers,Insurance
1998,Business Analyst,120,3,"Intelliswift Software Inc
3.0","Los Angeles, CA",100,Company - Private,Staffing & Outsourcing,Business Services
1993,Business Analyst,120,3.2,"SCOM
3.2","Los Angeles, CA",100,Company - Public,Staffing & Outsourcing,Business Services
2003,Business Intelligence Analyst,120,3.3,"Revolve
3.3","Cerritos, CA",100,Company - Public,"Department, Clothing, & Shoe Stores",Retail
1886,Business Systems Analyst,120,3.6,"City of Pasadena
3.6","Pasadena, CA",100,Government,Municipal Governments,Government
1948,Business Analyst,120,3.8,"Honda
3.8","Torrance, CA",100,Company - Public,Transportation Equipment Manufacturing,Manufacturing
2008,Business Analyst- Trainee -Entry Level,120,5,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",100,Company - Private,IT Services,Information Technology
Investment Banking & Asset Management,Business Marketing Analyst,120,2.3,"Warp2Biz
2.3","Pasadena, CA",100,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Analyst,120,3.2,"Cenergy International
3.2","Westminster, CA",100,Company - Private,Consulting,Business Services
2001,Business Intelligence Analyst,120,4.8,"Ad.net
4.8","Los Angeles, CA",100,Company - Private,Advertising & Marketing,Business Services
1992,Business Intelligence Analyst - Entry,120,3.2,"Calsoft Labs
3.2","Los Angeles, CA",100,Company - Private,IT Services,Information Technology
1983,Business Analyst,120,3.9,"TEKsystems, Inc
3.9","Pasadena, CA",100,Subsidiary_ Business_Segment,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Analyst,120,2.6,"Delta Computer Consulting Inc
2.6","Torrance, CA",100,Contract,Computer Hardware & Software,Information Technology
2011,Business Analyst,120,3.6,"Ames IT and Numeric Solutions, LLC
3.6","El Monte, CA",100,Company - Private,Computer Hardware & Software,Information Technology
Investment Banking & Asset Management,"Analyst, Business Analysis & Operations",120,Investment Banking & Asset Management,WB Digital Networks,"Burbank, CA",100,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
2000,Business Intelligence Analyst - Entry,120,3.8,"Enterprise Solutions Inc
3.8","Los Angeles, CA",100,Company - Private,Staffing & Outsourcing,Business Services
1950,Consumer Insights Analyst,120,3.8,"King's Hawaiian
3.8","Torrance, CA",100,Company - Private,Food & Beverage Manufacturing,Manufacturing
1966,Business Analyst,120,4.1,"Kforce
4.1","Monterey Park, CA",100,Company - Public,Staffing & Outsourcing,Business Services
2005,Business Analyst,120,3.3,"PROLIM Global Corporation
3.3","Hawthorne, CA",100,Company - Private,Enterprise Software & Network Solutions,Information Technology
2012,Analyst,120,3.9,"Regent, L.P.
3.9","Beverly Hills, CA",100,Company - Private,Venture Capital & Private Equity,Finance
2010,Marketing Analyst,120,3.9,"Jam City
3.9","Culver City, CA",100,Company - Private,Video Games,Media
Investment Banking & Asset Management,Business Analyst,120,Investment Banking & Asset Management,Eleven Recruiting - CHURN,"Los Angeles, CA",100,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
1993,Business Analyst - Contractor Specialist,134,4.5,"Rose International
4.5","Burbank, CA",100,Company - Private,Staffing & Outsourcing,Business Services
1998,Sr. SaaS Business Analyst,134,4.2,"Vmware
4.2","Los Angeles, CA",100,Company - Public,Computer Hardware & Software,Information Technology
Investment Banking & Asset Management,CRM Business Analyst,134,3.7,"Centaurus Technology Partners
3.7","Brea, CA",100,Company - Private,IT Services,Information Technology
1913,Business Intelligence Analyst,134,3.3,"City of Hope
3.3","Irwindale, CA",100,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Investment Banking & Asset Management,Business Analyst,134,3.2,"Tristar Insurance Group
3.2","Signal Hill, CA",100,Company - Private,Insurance Carriers,Insurance
Investment Banking & Asset Management,Business Analyst,134,2,"Ledgent
2.0","Los Angeles, CA",100,Company - Public,Investment Banking & Asset Management,Investment Banking & Asset Management
1999,Mid Level Business Analyst,134,4.8,"Career Movement
4.8","Los Angeles, CA",100,Company - Private,IT Services,Information Technology
Investment Banking & Asset Management,Business Analyst,134,Investment Banking & Asset Management,Kforce Technology Staffing,"Monterey Park, CA",100,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
2008,Urgent - Entry Level Business Analyst,134,5,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",100,Company - Private,IT Services,Information Technology
2017,Business Data Analyst,134,4.5,"PUBG Santa Monica
4.5","Los Angeles, CA",100,Company - Private,Video Games,Media
2000,Business Analyst,134,3.7,"iSpace, Inc
3.7","Culver City, CA",100,Company - Private,IT Services,Information Technology
1924,Senior Business Analyst,134,2.7,"Metro-Goldwyn-Mayer Studios Inc.
2.7","Culver City, CA",100,Company - Private,Motion Picture Production & Distribution,Media
1977,Business Analyst,134,2.4,"One Legacy
2.4","Los Angeles, CA",100,Nonprofit Organization,Health Care Services & Hospitals,Health Care
1914,Project Analyst,134,3.5,"HNTB
3.5","Los Angeles, CA",100,Company - Private,Architectural & Engineering Services,Business Services
Investment Banking & Asset Management,Business Analyst,134,3.7,"American Honda Motor Co., Inc.
3.7","Torrance, CA",100,Subsidiary_ Business_Segment,Transportation Equipment Manufacturing,Manufacturing
Investment Banking & Asset Management,Business analyst,134,4.4,"Indecomm Digital Services
4.4","Culver City, CA",100,Company - Private,IT Services,Information Technology
2012,Product and Business Analyst,134,4.5,"Sidebench
4.5","Los Angeles, CA",100,Company - Private,Internet,Information Technology
1996,Business Analyst (Full-time),134,4,"Prosum
4.0","Los Angeles, CA",100,Company - Private,IT Services,Information Technology
1939,Business Management Analyst,134,3.8,"Northrop Grumman
3.8","Redondo Beach, CA",100,Company - Public,Aerospace & Defense,Aerospace & Defense
2006,Business Systems Analyst,134,3.7,"Episource
3.7","Gardena, CA",100,Company - Private,Health Care Services & Hospitals,Health Care
2002,Business Systems Analyst,134,3.1,"Relevante, Inc.
3.1","Los Angeles, CA",100,Company - Private,Consulting,Business Services
Investment Banking & Asset Management,(Entry-Level) Business Consultants Needed - Will Train!,134,Investment Banking & Asset Management,Aflac Los Angeles,"Los Angeles, CA",100,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
